"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"8484",16.0313160690891,0.899818441870744,0.326240621625886,2.75814347516357,0.00581306775702722,0.82147193197332,"GALR3"
"100507182",2.55147436877346,-1.87287741583478,0.680170830280462,-2.75353974686405,0.00589546110726515,0.82147193197332,NA
"51191",79.8818842914214,-0.838446396979165,0.303530089569487,-2.76231723243115,0.00573926843233029,0.82147193197332,"HERC5"
"133923",43.8099132477458,-0.834099118277356,0.303656915528134,-2.7468471015279,0.00601711784490483,0.82147193197332,"ZNF474"
"155465",106.592259402828,-0.936078791475871,0.34140813396144,-2.74181748575913,0.00611002814707721,0.82147193197332,"AGR3"
"51657",471.016470943675,0.25231359910148,0.0923080006408242,2.7333881933295,0.00626864020498616,0.82147193197332,"STYXL1"
"10371",33.1420507873088,-0.91020758215159,0.333015083986306,-2.73323229463389,0.00627160830676895,0.82147193197332,"SEMA3A"
"7091",1429.61545686361,-0.264621988804622,0.0963892261184707,-2.74534820395154,0.0060446724112185,0.82147193197332,"TLE4"
"2790",15.8335740200831,-0.705479207349782,0.2544521628163,-2.77254160287527,0.00556204092340772,0.82147193197332,"GNG10"
"6812",837.849202349944,0.213862865988042,0.0777697272516053,2.74995005828091,0.00596043482877217,0.82147193197332,"STXBP1"
"367",802.79461420966,-0.392120255456615,0.143153013288191,-2.73916871499736,0.00615947558680686,0.82147193197332,"AR"
"129607",73.218119682562,-0.730540346307213,0.267561140366598,-2.73036789014379,0.00632636834699724,0.823882222660675,"CMPK2"
"278",41.0739256924458,1.52275237336965,0.55935042208991,2.72235849519908,0.00648177856876514,0.826634242119153,"AMY1C"
"9398",80.0964373481871,0.325496800636878,0.120069942832532,2.71089327568737,0.00671022204978888,0.826634242119153,"CD101"
