gene	log2FC	p	padj	n
AGO1	-0.585194282050302	5.74758330577506e-07	4.53243264314776e-05	148
GPR144	0.490339972516005	5.79578393081416e-07	4.53243264314776e-05	148
TMEM206	-1.04936440156759	5.83819662289689e-07	4.53243264314776e-05	148
RPS6KA2	-0.755261194504666	5.84431924269623e-07	4.53243264314776e-05	148
FAM220A	-0.604301416859703	5.84544708653824e-07	4.53243264314776e-05	148
RP11-83N9.5	0.438476327444667	5.86331949422849e-07	4.53243264314776e-05	148
TRIM13	-0.492887004075178	5.87183647316809e-07	4.53243264314776e-05	148
ATP6	0.216941987603806	5.89030961846896e-07	4.53243264314776e-05	148
ZBED6	-1.02201955207792	5.91426473855635e-07	4.53243264314776e-05	148
ZNF275	-0.614833413750869	5.92306538593173e-07	4.53243264314776e-05	148
SLC9A6	-0.821180828767514	5.96069446149561e-07	4.54602297596732e-05	148
ZRANB3	-0.864018483126762	6.0452100194727e-07	4.57589575754208e-05	148
OPA1	-0.533759440448327	6.06087625622155e-07	4.57589575754208e-05	148
ING2	-0.795694440156942	6.07219810178952e-07	4.57589575754208e-05	148
STAU1	-0.363500699032377	6.09242863461328e-07	4.57589575754208e-05	148
LOC100506472	0.453409160400402	6.11251243727264e-07	4.57589575754208e-05	148
TIMM23	-0.40728836421383	6.16387631436469e-07	4.57589575754208e-05	148
METTL9	-0.535500850780137	6.17305155798447e-07	4.57589575754208e-05	148
MLLT3	-0.819267592663619	6.1761993589302e-07	4.57589575754208e-05	148
LYRM2	-0.902325716600695	6.17985921800918e-07	4.57589575754208e-05	148
MTFR1	-0.487161036357234	6.20513707374869e-07	4.57979149185064e-05	148
DSTYK	-0.765599840415219	6.22995152390601e-07	4.58106298287126e-05	148
CHRNB2	0.563365194042438	6.26157375076151e-07	4.58106298287126e-05	148
TTC27	-0.709572588331993	6.26692619597336e-07	4.58106298287126e-05	148
KLHL5	-0.692092272944212	6.41813660893818e-07	4.67665495581228e-05	148
CCNYL1	-0.840315560739163	6.5673921487923e-07	4.7702200750593e-05	148
RBM15	-0.512858214042254	6.72653913286279e-07	4.87035491645255e-05	148
EXOC2	-0.85263931839528	6.81723336228797e-07	4.91032565395936e-05	148
SMNDC1	-0.580840326189867	6.82466590017079e-07	4.91032565395936e-05	148
CHMP2B	-0.872770314082129	6.8745242329586e-07	4.93069324294961e-05	148
SFTPC	0.525593108446132	6.93033464723934e-07	4.95191990619903e-05	148
LSM11	-0.67770885103823	6.94740511315511e-07	4.95191990619903e-05	148
GORASP2	-0.364220733898483	7.00416438348474e-07	4.97687208366866e-05	148
MTFMT	-0.68337774600183	7.06730548630283e-07	4.99248234245997e-05	148
NSL1	-0.49125140008469	7.0841392528221e-07	4.99248234245997e-05	148
FBXW11	-0.558009546341138	7.10304658069373e-07	4.99248234245997e-05	148
GMPS	-0.529201343178342	7.1143954866868e-07	4.99248234245997e-05	148
NEK4	-0.813130425672033	7.13523481636543e-07	4.99248234245997e-05	148
NETO2	-1.13931001610737	7.20685149128378e-07	5.01542914323989e-05	148
BC069776	-0.765665416795684	7.21187145159931e-07	5.01542914323989e-05	148
ZW10	-0.598678358905616	7.41739647539027e-07	5.13604787526565e-05	148
NUDT15	-0.627211223277118	7.43020912024882e-07	5.13604787526565e-05	148
NIPA2	-0.631202107102068	7.64895560292827e-07	5.26886791999392e-05	148
RPE	-0.766769882865373	7.66841353740374e-07	5.26886791999392e-05	148
CDC37L1	-0.926407703698189	7.74823242200656e-07	5.2859708432109e-05	148
MGC10814	0.326620462444301	7.75159580759159e-07	5.2859708432109e-05	148
RRAGC	-0.612817387696727	7.76261452499502e-07	5.2859708432109e-05	148
IFT52	-0.699042929742821	7.87297657549302e-07	5.34521376994897e-05	148
CCL28	0.301106296168648	7.91543276457291e-07	5.35813910217243e-05	148
DENND5B	-0.775822620827877	7.97580700885539e-07	5.38185165248314e-05	148
WDR92	-0.738346783628499	7.99750682624244e-07	5.38185165248314e-05	148
C5orf22	-0.725454328128408	8.11663630605477e-07	5.44600113438514e-05	148
WDR47	-0.767323218961222	8.1648195216042e-07	5.45757707846466e-05	148
LOC284926	-0.709159784508324	8.18159500836267e-07	5.45757707846466e-05	148
AL022341.3	0.41485849376422	8.24329926816193e-07	5.4827525364984e-05	148
MPP5	-0.616462741525335	8.36584144125379e-07	5.54246514432482e-05	148
SOCS4	-0.753327540826778	8.38410687313653e-07	5.54246514432482e-05	148
MYL10	0.592338055441558	8.41794114196897e-07	5.54246514432482e-05	148
GNAI3	-0.642772403055242	8.42997320902551e-07	5.54246514432482e-05	148
