"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-181c-3p",1.98584125527167,0.893741348099158,2.25252015646197,0.396773962503828,0.691534152957985,NA
"hsa-miR-181c-5p",2.85802241239774,-0.0172640524127513,2.12526960669253,-0.00812322933447421,0.993518672010649,NA
"hsa-miR-181d-3p",0.812331740272779,0.510054971255147,2.99783138185837,0.170141314265301,0.864899003072893,NA
"hsa-miR-181d-5p",60.8990133475488,0.900776828956749,0.396315821877589,2.27287627501022,0.0230336368863161,0.205575209210372
"hsa-miR-182-5p",2930.81855088872,0.671597843473538,0.330740880068724,2.03058612934085,0.0422969959596072,0.260979347693246
"hsa-miR-1827",10.0693498851336,-0.572385523018791,0.625683826976402,-0.914815915547676,0.360288278076855,0.813771512885725
"hsa-miR-183-3p",0.297162463237964,1.80603311921497,3.0390447845794,0.594276572816257,0.552327145012664,NA
"hsa-miR-183-5p",1256.07667732352,0.623738293178555,0.33400055743511,1.86747680293838,0.0618350332740707,0.33447131634611
"hsa-miR-184",6.15796774056302,0.931347041827195,1.50263146573506,0.619810687493889,0.53538243153325,0.872746703458313
"hsa-miR-1843",24.9296408948641,-0.253976661159107,0.595907041138718,-0.426201812742107,0.669960796709811,0.884176186771065
"hsa-miR-185-3p",37.9079964906036,-0.0384062442456751,0.751483427626119,-0.051107240471021,0.959240066473094,0.972865635599132
"hsa-miR-185-5p",1544.53484985867,0.332004382658633,0.36442040637923,0.911047726326104,0.362270227400855,0.813771512885725
"hsa-miR-186-5p",212.86557498566,0.0970368877103323,0.277464704765745,0.34972696001914,0.726543618671875,0.891326707442816
"hsa-miR-187-3p",3.78908343251276,0.525660429268146,2.03488411467794,0.258324503826274,0.796156476559424,NA
"hsa-miR-188-5p",0.36772029776578,0.779340262634747,3.04930925251915,0.255579279796204,0.798275719459351,NA
"hsa-miR-18a-3p",11.993907348051,3.4305270550865,1.18235244151454,2.90144201900759,0.00371449512257239,0.0884435316262137
"hsa-miR-18a-5p",36.4554206902064,0.122429337696434,0.468965622171686,0.26106249991095,0.794044309853462,0.915671208649392
"hsa-miR-18b-5p",36.4554206902064,0.122429337696434,0.468965622171686,0.26106249991095,0.794044309853462,0.915671208649392
"hsa-miR-1908-5p",21.5164663554005,0.330563083400887,0.572693222789148,0.5772079540089,0.563798984518087,0.876381027235558
"hsa-miR-190a-5p",499.281294151572,0.331057715348575,0.380285280206984,0.87055095892322,0.383999383458348,0.825829999365243
"hsa-miR-190b-5p",40.652229369104,-0.98666944503101,0.464241796630317,-2.12533522873795,0.0335586507117231,0.238939685605656
"hsa-miR-191-3p",13.0090289585324,-0.537737417861005,0.98650603743037,-0.545092880791376,0.585689638801656,0.878457438532382
"hsa-miR-191-5p",5218.80667198593,0.334488305246275,0.274907910789378,1.21672855570368,0.223707510578905,0.628847096666686
"hsa-miR-1914-5p",0.89566943318951,-3.30573133501571,2.99866302939999,-1.10240173790957,0.27028705632695,NA
"hsa-miR-192-3p",0.956760340362535,3.39770809027978,2.99749437677107,1.13351608483744,0.256997590363748,NA
"hsa-miR-192-5p",348.278698889218,0.625061129691317,0.352867179920319,1.77137791571452,0.0764978785070722,0.395793371406156
"hsa-miR-193a-5p",133.315744089387,-0.438791424383756,0.405285698020573,-1.08267186956467,0.278954094384554,0.726909574418143
"hsa-miR-193b-3p",0.450385559963878,2.31703533640563,3.02287911787994,0.766499501320005,0.443379148476048,NA
"hsa-miR-193b-5p",80.6060232250332,-0.175667133395807,0.811859022305107,-0.216376401037013,0.828694359808277,0.930287418448109
"hsa-miR-194-3p",0.152088094904762,1.09997788220003,3.05858330174126,0.359636398189256,0.719119060501141,NA
"hsa-miR-194-5p",71.7099510426284,-0.80948772577288,0.444398827450705,-1.82153434206051,0.0685256712724757,0.359759774180498
"hsa-miR-195-3p",3.77089309894395,-3.18353135708589,1.95470659722937,-1.62864921088325,0.103387300239546,NA
"hsa-miR-195-5p",106.521780154879,-0.711280497492567,0.513100940224378,-1.38623892831209,0.165673958279283,0.556912610588187
"hsa-miR-196a-5p",128.631331040451,-0.887306801078374,0.41012211844087,-2.16351852577856,0.0305013204214564,0.231680242350212
"hsa-miR-196b-5p",128.631331040451,-0.887306801078374,0.41012211844087,-2.16351852577856,0.0305013204214564,0.231680242350212
"hsa-miR-197-3p",232.881251129303,0.0253544408001233,0.336025690194744,0.0754538761171181,0.939853594396522,0.966938712390658
"hsa-miR-197-5p",5.85580788058473,-0.609006351895736,1.45664314313745,-0.418088915438825,0.675882108996915,0.884176186771065
"hsa-miR-1976",3.07268227633718,-0.717526002147601,1.88538556731539,-0.380572554806012,0.703520449531837,NA
"hsa-miR-199a-3p",1072.09240677337,-0.984979454997211,0.347608446987004,-2.83358895197974,0.00460284957025787,0.0966598409754152
"hsa-miR-199a-5p",27.6097802826864,-0.587804028938975,0.60840165678242,-0.966144688112164,0.333971785745707,0.805594104805523
"hsa-miR-199b-3p",1072.09240677337,-0.984979454997211,0.347608446987004,-2.83358895197974,0.00460284957025787,0.0966598409754152
"hsa-miR-199b-5p",15.6629604633119,-0.754946411712948,0.987083138931791,-0.764825557176411,0.4443754270669,0.82735786484053
